# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 07.58m,0000088115Hz,0000000000c,0000000.000s, 022.5C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-04-28T18:36:04.059
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-04-20T20:00:05.000;2019-04-20T21:00:05.000;11.6;5.00;10.38;1
2019-04-20T20:05:05.000;2019-04-20T21:05:05.000;11.2;5.00;11.22;1
2019-04-20T20:10:05.000;2019-04-20T21:10:05.000;11.2;5.00;12.10;1
2019-04-20T20:15:05.000;2019-04-20T21:15:05.000;10.9;5.00;13.01;1
2019-04-20T20:20:05.000;2019-04-20T21:20:05.000;10.6;5.00;13.95;1
2019-04-20T20:25:05.000;2019-04-20T21:25:05.000;10.6;5.00;14.86;1
2019-04-20T20:30:05.000;2019-04-20T21:30:05.000;10.3;5.00;15.77;1
2019-04-20T20:35:05.000;2019-04-20T21:35:05.000;9.9;5.00;16.55;1
2019-04-20T20:40:05.000;2019-04-20T21:40:05.000;9.9;5.00;17.24;1
2019-04-20T20:45:05.000;2019-04-20T21:45:05.000;9.6;5.00;17.86;1
2019-04-20T20:50:05.000;2019-04-20T21:50:05.000;9.6;5.00;18.42;1
2019-04-20T20:55:05.000;2019-04-20T21:55:05.000;9.3;5.00;18.91;1
2019-04-20T21:00:05.000;2019-04-20T22:00:05.000;9.3;5.00;19.32;1
2019-04-20T21:05:05.000;2019-04-20T22:05:05.000;9.3;5.00;19.63;1
2019-04-20T21:10:05.000;2019-04-20T22:10:05.000;9.0;5.00;19.85;1
2019-04-20T21:15:05.000;2019-04-20T22:15:05.000;9.0;5.00;19.98;1
2019-04-20T21:20:05.000;2019-04-20T22:20:05.000;9.0;5.00;20.00;1
2019-04-20T21:25:05.000;2019-04-20T22:25:05.000;8.7;5.00;19.94;1
2019-04-20T21:30:05.000;2019-04-20T22:30:05.000;8.7;5.00;19.81;1
2019-04-20T21:35:05.000;2019-04-20T22:35:05.000;8.3;5.00;19.62;1
2019-04-20T21:40:05.000;2019-04-20T22:40:05.000;8.3;5.00;19.43;1
2019-04-20T21:45:05.000;2019-04-20T22:45:05.000;8.3;5.00;19.34;1
2019-04-20T21:50:05.000;2019-04-20T22:50:05.000;8.0;5.00;19.26;1
2019-04-20T21:55:05.000;2019-04-20T22:55:05.000;8.0;5.00;19.27;1
