# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 08.87m,0000026936Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-06-01T12:51:15.706
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-04T20:25:05.000;2019-05-04T21:25:05.000;5.1;5.00;10.38;1
2019-05-04T20:30:05.000;2019-05-04T21:30:05.000;4.8;5.00;11.12;1
2019-05-04T20:35:05.000;2019-05-04T21:35:05.000;4.5;5.00;11.91;1
2019-05-04T20:40:05.000;2019-05-04T21:40:05.000;4.1;5.00;12.69;1
2019-05-04T20:45:05.000;2019-05-04T21:45:05.000;3.8;5.00;13.55;1
2019-05-04T20:50:05.000;2019-05-04T21:50:05.000;3.2;5.00;14.42;1
2019-05-04T20:55:05.000;2019-05-04T21:55:05.000;2.9;5.00;15.24;1
2019-05-04T21:00:05.000;2019-05-04T22:00:05.000;2.9;5.00;16.00;1
2019-05-04T21:05:05.000;2019-05-04T22:05:05.000;2.5;5.00;16.63;1
2019-05-04T21:10:05.000;2019-05-04T22:10:05.000;2.5;5.00;17.20;1
2019-05-04T21:15:05.000;2019-05-04T22:15:05.000;2.2;5.00;17.75;1
2019-05-04T21:20:05.000;2019-05-04T22:20:05.000;1.9;5.00;18.25;1
2019-05-04T21:25:05.000;2019-05-04T22:25:05.000;1.9;5.00;18.73;1
2019-05-04T21:30:05.000;2019-05-04T22:30:05.000;1.9;5.00;19.20;1
2019-05-04T21:35:05.000;2019-05-04T22:35:05.000;1.6;5.00;19.61;1
2019-05-04T21:40:05.000;2019-05-04T22:40:05.000;1.2;5.01;20.00;1
2019-05-04T21:45:05.000;2019-05-04T22:45:05.000;1.2;5.00;20.34;1
2019-05-04T21:50:06.000;2019-05-04T22:50:06.000;0.9;5.00;20.62;1
2019-05-04T21:55:05.000;2019-05-04T22:55:05.000;0.9;5.00;20.86;1
2019-05-04T22:00:07.000;2019-05-04T23:00:07.000;0.9;5.00;21.04;1
2019-05-04T22:05:08.000;2019-05-04T23:05:08.000;0.9;5.00;21.19;1
2019-05-04T22:10:06.000;2019-05-04T23:10:06.000;0.9;5.00;21.30;1
2019-05-04T22:15:07.000;2019-05-04T23:15:07.000;0.6;5.00;21.37;1
2019-05-04T22:20:07.000;2019-05-04T23:20:07.000;0.3;5.00;21.39;1
2019-05-04T22:25:07.000;2019-05-04T23:25:07.000;0.3;5.00;21.43;1
2019-05-04T22:30:07.000;2019-05-04T23:30:07.000;0.1;5.00;21.46;1
2019-05-04T22:35:07.000;2019-05-04T23:35:07.000;0.1;5.00;21.48;1
2019-05-04T22:40:07.000;2019-05-04T23:40:07.000;0.1;5.00;21.49;1
2019-05-04T22:45:08.000;2019-05-04T23:45:08.000;-0.4;5.00;21.51;1
2019-05-04T22:50:08.000;2019-05-04T23:50:08.000;-0.7;5.00;21.52;1
2019-05-04T22:55:08.000;2019-05-04T23:55:08.000;-0.7;5.00;21.54;1
2019-05-04T23:00:08.000;2019-05-05T00:00:08.000;-0.7;5.00;21.54;1
2019-05-04T23:05:08.000;2019-05-05T00:05:08.000;-1.0;5.00;21.54;1
2019-05-04T23:10:08.000;2019-05-05T00:10:08.000;-1.0;5.00;21.53;1
2019-05-04T23:15:07.000;2019-05-05T00:15:07.000;-1.0;5.00;21.53;1
2019-05-04T23:20:07.000;2019-05-05T00:20:07.000;-1.3;5.00;21.54;1
2019-05-04T23:25:07.000;2019-05-05T00:25:07.000;-1.3;5.00;21.55;1
2019-05-04T23:30:07.000;2019-05-05T00:30:07.000;-1.7;5.00;21.54;1
2019-05-04T23:35:07.000;2019-05-05T00:35:07.000;-1.7;5.00;21.54;1
2019-05-04T23:40:07.000;2019-05-05T00:40:07.000;-1.7;5.00;21.54;1
2019-05-04T23:45:07.000;2019-05-05T00:45:07.000;-1.7;5.00;21.54;1
